Num,Año,Mes,Día,Horas,Base Operativa Kiteni,PS-1,PS-2,PS-3,PS-4
336,2016,12,31,18:00A6:167,3.9,3.08,0.0,0.0,10.0
337,2016,12,31,6:00A18:168,3.9,8.2,0.0,3.0,0.0
338,2016,12,31,18:00A6:168,3.9,14.8,0.0,0.0,0.0
339,2016,12,31,6:00A18:169,22.0,31.8,0.0,5.0,0.6
340,2016,12,31,18:00A6:169,2.3,2.4,0.0,11.0,5.2
341,2016,12,31,6:00A18:170,2.2,15.6,0.0,3.2,8.0
342,2016,12,31,18:00A6:170,10.2,2.1,0.0,21.4,0.0
343,2016,12,31,6:00A18:171,4.2,0.8,0.0,3.8,1.2
344,2016,12,31,18:00A6:171,5.0,8.2,0.0,8.1,14.0
345,2016,12,31,6:00A18:172,3.9,6.8,0.0,0.0,0.0
346,2016,12,31,18:00A6:172,0.7,35.5,0.0,0.0,0.0
347,2016,12,31,6:00A18:173,3.9,13.8,0.0,0.0,0.0
348,2016,12,31,18:00A6:173,6.8,56.9,0.0,0.0,0.0
349,2016,12,31,6:00A18:174,3.9,0.7,0.0,0.0,0.0
350,2016,12,31,18:00A6:174,1.0,23.8,0.0,20.8,5.6
351,2016,12,31,6:00A18:175,36.0,1.5,0.0,3.0,14.8
352,2016,12,31,18:00A6:175,3.9,8.2,0.0,0.6,0.6
353,2016,12,31,6:00A18:176,3.9,8.2,0.0,0.0,0.6
354,2016,12,31,18:00A6:176,27.2,8.2,0.0,2.2,2.2
355,2016,12,31,6:00A18:177,1.3,8.2,0.0,2.0,3.6
356,2016,12,31,18:00A6:177,32.4,8.2,0.0,25.2,2.0
357,2016,12,31,6:00A18:178,2.0,8.2,0.0,15.2,6.0
358,2016,12,31,18:00A6:178,36.8,8.2,0.0,70.2,3.4
359,2016,12,31,6:00A18:179,1.8,8.2,0.0,18.6,2.8
360,2016,12,31,18:00A6:179,3.9,8.2,0.0,0.0,0.2
361,2016,12,31,6:00A18:180,7.6,8.2,0.0,0.0,7.2
362,2016,12,31,18:00A6:180,1.6,8.2,0.0,0.0,0.0
363,2016,12,31,6:00A18:181,3.9,8.2,0.0,0.0,0.0
364,2016,12,31,18:00A6:181,8.3,8.2,0.0,9.0,1.0
365,2016,12,31,6:00A18:182,3.9,8.2,0.0,0.0,0.0
366,2016,12,31,18:00A6:182,26.0,68.2,0.0,0.0,0.0
367,2017,1,1,6:00A18:183,27.6,18.2,0.0,11.0,19.0
